,RMSE_SeasonalAvg,MAE_SeasonalAvg,MAPE_SeasonalAvg,R²_SeasonalAvg,RMSE_Prophet,MAE_Prophet,MAPE_Prophet,R²_Prophet,XGBoost
全国,20474.701087052938,15838.75,326.4142663822758,-11.731892826971231,58940.33394362381,49954.38055017587,1018.0939134376808,-104.50742362847912,
Region IV-A,3530.016094155946,2599.0,993.0969309671456,-11.430723146696751,13812.902340774368,11683.839769301254,4168.006279118121,-189.3324797275472,
Region III,1998.115947221699,1472.7708333333333,164.85122282620236,-3.560657231447561,3516.346036706151,2572.712971865172,298.65975746632324,-13.124376124439664,
Region VI,2971.810138619222,2018.0833333333333,820.8395168787666,-169.96608299963742,12604.627716581092,8392.476135879895,3383.274348637258,-3074.5860890785584,
