Region,Year,Month,Dengue_Cases,Risk_Score,Risk_Level,Outbreak
NCR,2017,February,1161,6.936681215000491,高,0
NCR,2017,March,930,7.523972602739726,高,0
NCR,2017,April,767,8.2365726242669,极高,0
NCR,2017,May,543,7.83611325573688,高,0
NCR,2017,June,1027,9.14134438305709,极高,0
NCR,2017,July,3139,8.774519052838329,极高,0
NCR,2017,August,4555,7.6647947766833715,高,0
NCR,2017,September,3783,6.75,高,0
NCR,2017,October,3833,6.488697970687973,高,0
NCR,2017,November,2588,6.233633121074714,高,0
NCR,2017,December,2101,6.4707207207207205,高,0
NCR,2018,January,2043,6.444454694178377,高,0
NCR,2018,February,1965,7.467025512786649,高,0
NCR,2018,March,1160,7.497311827956989,高,0
NCR,2018,April,897,7.694010578262057,高,0
NCR,2018,May,603,7.63501629040739,高,0
NCR,2018,June,832,7.6297678275290215,高,0
NCR,2018,July,2608,7.774519052838329,高,0
NCR,2018,August,3323,6.499637388879463,高,0
NCR,2018,September,5131,6.650417622941985,高,0
NCR,2018,October,4472,5.642191095870254,中,0
NCR,2018,November,3335,5.764120823514067,中,0
NCR,2018,December,2831,6.097453593526891,高,0
NCR,2019,January,2082,6.244570521317325,高,0
NCR,2019,February,2348,7.097191761845377,高,0
NCR,2019,March,1377,7.437068965517241,高,0
NCR,2019,April,532,7.524519052838329,高,0
NCR,2019,May,442,7.524519052838329,高,0
NCR,2019,June,817,7.74041628959276,高,0
NCR,2019,July,1839,7.774519052838329,高,0
NCR,2019,August,5481,7.874894128022339,高,1
NCR,2019,September,11033,7.75,高,1
NCR,2019,October,6776,5.990686671669721,中,1
NCR,2019,November,4494,5.82300718404323,中,0
NCR,2019,December,3257,5.900476863299188,中,0
NCR,2020,January,2328,6.343636566758213,高,0
NCR,2020,February,1991,6.774519052838329,高,0
NCR,2020,March,1032,7.25,高,0
NCR,2020,April,99,7.524519052838329,高,0
NCR,2020,May,65,4.447407941727218,中,0
NCR,2020,June,57,2.885555555555556,低,0
NCR,2020,July,112,3.3414313335400836,低,0
NCR,2020,August,158,2.6715285662092905,低,0
NCR,2020,September,131,2.1435555555555554,低,0
NCR,2020,October,129,1.7259253916061155,极低,0
NCR,2020,November,423,3.0083698360505595,低,0
NCR,2020,December,658,5.188,中,0
Region I,2016,January,705,3.225480947161671,低,0
Region I,2016,February,374,6.572852386171663,高,0
Region I,2016,March,276,5.999555555555556,中,0
Region I,2016,April,240,5.1694079417272185,中,0
Region I,2016,May,243,4.820352386171662,中,0
Region I,2016,June,345,5.047753086419753,中,0
Region I,2016,July,1295,6.844519052838329,高,0
Region I,2016,August,1598,6.459457781138505,高,0
Region I,2016,September,1415,5.75,中,0
Region I,2016,October,1000,5.475480947161671,中,0
Region I,2016,November,555,5.475480947161671,中,0
Region I,2016,December,235,5.738888888888889,中,0
Region I,2017,January,285,4.042691349052923,中,0
Region I,2017,February,202,4.2867412750605505,中,0
Region I,2017,March,151,4.170888888888889,中,0
Region I,2017,April,174,4.168392489188586,中,0
Region I,2017,May,179,4.157254685022237,中,0
Region I,2017,June,362,5.167719806763285,中,0
Region I,2017,July,1032,6.694296830616107,高,0
Region I,2017,August,1609,6.791473078799085,高,0
Region I,2017,September,1333,5.75,中,0
Region I,2017,October,1159,5.634480947161671,中,0
Region I,2017,November,865,6.03403950572023,高,0
Region I,2017,December,885,6.773121387283237,高,0
Region I,2018,January,699,7.225480947161671,高,0
Region I,2018,February,448,7.774519052838329,高,0
Region I,2018,March,235,7.029846946284033,高,0
Region I,2018,April,325,6.305313868196608,高,0
Region I,2018,May,334,6.361466481573467,高,0
Region I,2018,June,721,7.779046040515654,高,0
Region I,2018,July,3374,8.774519052838329,极高,1
Region I,2018,August,3266,7.225480947161671,高,0
Region I,2018,September,2221,6.416166541635409,高,0
Region I,2018,October,1081,5.475480947161671,中,0
Region I,2018,November,1285,6.149744233671165,高,0
