Month,Year,Region,Dengue_Cases,Dengue_Deaths,MonthNum,Date,YearMonth,Lag1_Cases,Lag2_Cases,Lag3_Cases,Month_Sin,Month_Cos,MA3_Cases,MA6_Cases,MA12_Cases,EWMA3_Cases,MoM_Growth,YoY_Growth,Outbreak,Outbreak_Level,Risk_Score,Risk_Level
September,2019,BARMM,807,2,9,2019-09-01,2019-09,811.0,772.0,554.0,-1.0,-1.8369701987210297e-16,796.6666666666666,574.8333333333334,408.25,754.0882890336119,-0.004932182490752113,2.0919540229885056,1,3,6.75,高
October,2019,BARMM,481,2,10,2019-10-01,2019-10,807.0,811.0,772.0,-0.8660254037844386,0.5000000000000001,699.6666666666666,618.1666666666666,427.8333333333333,617.544144516804,-0.4039653035935564,0.9552845528455285,0,2,6.430765500007199,高
November,2019,BARMM,362,0,11,2019-11-01,2019-11,481.0,807.0,811.0,-0.5000000000000004,0.8660254037844384,550.0,631.1666666666666,442.75,489.77207225840107,-0.24740124740124736,0.9781420765027322,0,1,6.172956356997736,高
December,2019,BARMM,288,3,12,2019-12-01,2019-12,362.0,481.0,807.0,-2.4492935982947064e-16,1.0,377.0,586.8333333333334,449.4166666666667,388.8860361292002,-0.20441988950276246,0.3846153846153846,0,1,4.5632820512820516,中
January,2016,CAR,579,4,1,2016-01-01,2016-01,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,579.0,579.0,579.0,579.0,0.0,0.0,0,0,3.155480947161671,低
February,2016,CAR,276,1,2,2016-02-01,2016-02,579.0,0.0,0.0,0.8660254037844386,0.5000000000000001,427.5,427.5,427.5,377.0,-0.5233160621761659,0.0,0,0,6.199519052838329,高
March,2016,CAR,191,0,3,2016-03-01,2016-03,276.0,579.0,0.0,1.0,6.123233995736766e-17,348.6666666666667,348.6666666666667,348.6666666666667,270.7142857142857,-0.30797101449275366,0.0,0,0,5.068222222222222,中
April,2016,CAR,226,1,4,2016-04-01,2016-04,191.0,276.0,579.0,0.8660254037844387,-0.4999999999999998,231.0,318.0,318.0,246.86666666666667,0.18324607329842935,0.0,0,0,4.6237651261367585,中
May,2016,CAR,504,0,5,2016-05-01,2016-05,226.0,191.0,276.0,0.49999999999999994,-0.8660254037844387,307.0,355.2,355.2,379.5806451612903,1.2300884955752212,0.0,0,0,5.903852386171662,中
June,2016,CAR,1358,3,6,2016-06-01,2016-06,504.0,226.0,191.0,1.2246467991473532e-16,-1.0,696.0,522.3333333333334,522.3333333333334,876.5555555555555,1.6944444444444446,0.0,0,2,8.25,极高
July,2016,CAR,2769,10,7,2016-07-01,2016-07,1358.0,504.0,226.0,-0.4999999999999997,-0.8660254037844388,1543.6666666666667,887.3333333333334,843.2857142857143,1830.2283464566929,1.0390279823269513,0.0,1,4,7.774519052838329,高
August,2016,CAR,2179,2,8,2016-08-01,2016-08,2769.0,1358.0,504.0,-0.8660254037844385,-0.5000000000000004,2102.0,1204.5,1010.25,2005.2980392156862,-0.213073311664861,0.0,1,3,6.225480947161671,高
September,2016,CAR,538,548,9,2016-09-01,2016-09,2179.0,2769.0,1358.0,-1.0,-1.8369701987210297e-16,1828.6666666666667,1262.3333333333333,957.7777777777778,1270.2133072407046,-0.7530977512620468,0.0,0,0,5.75,中
October,2016,CAR,261,319,10,2016-10-01,2016-10,538.0,2179.0,2769.0,-0.8660254037844386,0.5000000000000001,992.6666666666666,1268.1666666666667,888.1,765.1133919843597,-0.5148698884758365,0.0,0,0,5.475480947161671,中
November,2016,CAR,161,0,11,2016-11-01,2016-11,261.0,538.0,2179.0,-0.5000000000000004,0.8660254037844384,320.0,1211.0,822.0,462.90913531998046,-0.3831417624521073,0.0,0,0,3.1081476138283373,低
December,2016,CAR,122,0,12,2016-12-01,2016-12,161.0,261.0,538.0,-2.4492935982947064e-16,1.0,181.33333333333334,1005.0,763.6666666666666,292.41294261294263,-0.2422360248447205,0.0,0,0,2.3204444444444445,低
January,2017,CAR,166,0,1,2017-01-01,2017-01,122.0,161.0,261.0,0.49999999999999994,0.8660254037844387,149.66666666666666,571.1666666666666,729.25,229.1987547308021,0.360655737704918,-0.7132987910189983,0,0,2.817025573755478,低
February,2017,CAR,123,1,2,2017-02-01,2017-02,166.0,122.0,161.0,0.8660254037844386,0.5000000000000001,137.0,228.5,716.5,176.0961362387841,-0.25903614457831325,-0.5543478260869565,0,0,3.2271857195049956,低
March,2017,CAR,76,0,3,2017-03-01,2017-03,123.0,166.0,122.0,1.0,6.123233995736766e-17,121.66666666666667,151.5,706.9166666666666,126.0465407269509,-0.38211382113821135,-0.6020942408376964,0,0,3.3935555555555554,低
April,2017,CAR,76,0,4,2017-04-01,2017-04,76.0,123.0,166.0,0.8660254037844387,-0.4999999999999998,91.66666666666667,120.66666666666667,694.4166666666666,101.02288853284504,0.0,-0.663716814159292,0,0,3.2860746083938848,低
May,2017,CAR,57,0,5,2017-05-01,2017-05,76.0,76.0,123.0,0.49999999999999994,-0.8660254037844387,69.66666666666667,103.33333333333333,657.1666666666666,79.01127633114876,-0.25,-0.8869047619047619,0,0,3.2127412750605515,低
June,2017,CAR,146,0,6,2017-06-01,2017-06,57.0,76.0,76.0,1.2246467991473532e-16,-1.0,93.0,107.33333333333333,556.1666666666666,112.5057659369123,1.5614035087719298,-0.8924889543446244,0,0,3.902,低
July,2017,CAR,532,1,7,2017-07-01,2017-07,146.0,57.0,76.0,-0.4999999999999997,-0.8660254037844388,245.0,168.33333333333334,369.75,322.2532830300961,2.643835616438356,-0.8078728782954135,0,0,4.467185719504996,中
August,2017,CAR,841,3,8,2017-08-01,2017-08,532.0,146.0,57.0,-0.8660254037844385,-0.5000000000000004,506.3333333333333,288.0,258.25,581.6268888729943,0.5808270676691729,-0.6140431390546122,0,1,6.4940857926086215,高
September,2017,CAR,610,3,9,2017-09-01,2017-09,841.0,532.0,146.0,-1.0,-1.8369701987210297e-16,661.0,377.0,264.25,595.8134512011773,-0.27467300832342445,0.13382899628252787,0,0,5.883828996282528,中
October,2017,CAR,661,0,10,2017-10-01,2017-10,610.0,841.0,532.0,-0.8660254037844386,0.5000000000000001,704.0,474.5,297.5833333333333,628.4067333714327,0.08360655737704925,1.5325670498084292,0,0,6.55908750453872,高
November,2017,CAR,391,3,11,2017-11-01,2017-11,661.0,610.0,841.0,-0.5000000000000004,0.8660254037844384,554.0,530.1666666666666,316.75,509.7033525351706,-0.4084720121028744,1.4285714285714284,0,0,6.322147613828338,高
December,2017,CAR,366,1,12,2017-12-01,2017-12,391.0,661.0,610.0,-2.4492935982947064e-16,1.0,472.6666666666667,566.8333333333334,337.0833333333333,437.8516719848914,-0.06393861892583119,2.0,0,0,5.671555555555556,中
January,2018,CAR,320,0,1,2018-01-01,2018-01,366.0,391.0,661.0,0.49999999999999994,0.8660254037844387,359.0,531.5,349.9166666666667,378.9258342363189,-0.12568306010928965,0.927710843373494,0,0,5.545858457201832,中
February,2018,CAR,234,2,2,2018-02-01,2018-02,320.0,366.0,391.0,0.8660254037844386,0.5000000000000001,306.6666666666667,430.3333333333333,359.1666666666667,306.46291603837784,-0.26875000000000004,0.9024390243902438,0,0,5.619180299450795,中
March,2018,CAR,173,0,3,2018-03-01,2018-03,234.0,320.0,366.0,1.0,6.123233995736766e-17,242.33333333333334,357.5,367.25,239.7314575220008,-0.26068376068376065,1.276315789473684,0,0,5.461777777777778,中
April,2018,CAR,128,0,4,2018-04-01,2018-04,173.0,234.0,320.0,0.8660254037844387,-0.4999999999999998,178.33333333333334,268.6666666666667,371.5833333333333,183.86572855288435,-0.2601156069364162,0.6842105263157894,0,0,4.841174023598563,中
May,2018,CAR,188,0,5,2018-05-01,2018-05,128.0,173.0,234.0,0.49999999999999994,-0.8660254037844387,163.0,234.83333333333334,382.5,185.9328642802925,0.46875,2.2982456140350878,0,0,5.304602386171663,中
June,2018,CAR,467,1,6,2018-06-01,2018-06,188.0,128.0,173.0,1.2246467991473532e-16,-1.0,261.0,251.66666666666666,409.25,326.46643227102834,1.4840425531914891,2.1986301369863015,0,0,6.247999999999999,高
July,2018,CAR,1330,1,7,2018-07-01,2018-07,467.0,188.0,128.0,-0.4999999999999997,-0.8660254037844388,661.6666666666666,420.0,475.75,828.2332163691675,1.8479657387580302,1.5,0,2,8.576519052838329,极高
August,2018,CAR,1265,2,8,2018-08-01,2018-08,1330.0,467.0,188.0,-0.8660254037844385,-0.5000000000000004,1020.6666666666666,591.8333333333334,511.0833333333333,1046.61660823543,-0.048872180451127845,0.5041617122473245,0,1,6.729642659408995,高
September,2018,CAR,1221,2,9,2018-09-01,2018-09,1265.0,1330.0,467.0,-1.0,-1.8369701987210297e-16,1272.0,766.5,562.0,1133.8083041278655,-0.034782608695652195,1.001639344262295,0,1,6.75,高
October,2018,CAR,915,0,10,2018-10-01,2018-10,1221.0,1265.0,1330.0,-0.8660254037844386,0.5000000000000001,1133.6666666666667,897.6666666666666,583.1666666666666,1024.4041520575645,-0.2506142506142506,0.3842662632375189,0,1,5.85974721039919,中
November,2018,CAR,649,0,11,2018-11-01,2018-11,915.0,1221.0,1265.0,-0.5000000000000004,0.8660254037844384,928.3333333333334,974.5,604.6666666666666,836.7020760233195,-0.2907103825136612,0.659846547314578,0,0,6.135327494476249,高
December,2018,CAR,694,0,12,2018-12-01,2018-12,649.0,915.0,1221.0,-2.4492935982947064e-16,1.0,752.6666666666666,1012.3333333333334,632.0,765.3510380106214,0.06933744221879823,0.8961748633879782,0,1,6.715512305606777,高
January,2019,CAR,470,2,1,2019-01-01,2019-01,694.0,649.0,915.0,0.49999999999999994,0.8660254037844387,604.3333333333334,869.0,644.5,617.6755190042362,-0.3227665706051873,0.46875,0,0,6.694230947161671,高
February,2019,CAR,694,2,2,2019-02-01,2019-02,470.0,694.0,649.0,0.8660254037844386,0.5000000000000001,619.3333333333334,773.8333333333334,682.8333333333334,655.837759502257,0.4765957446808511,1.965811965811966,0,1,8.07111479751918,极高
March,2019,CAR,398,0,3,2019-03-01,2019-03,694.0,470.0,694.0,1.0,6.123233995736766e-17,520.6666666666666,636.6666666666666,701.5833333333334,526.918879750894,-0.42651296829971186,1.300578034682081,0,0,7.985555555555555,高
April,2019,CAR,163,0,4,2019-04-01,2019-04,398.0,694.0,470.0,0.8660254037844387,-0.4999999999999998,418.3333333333333,511.3333333333333,704.5,344.9594398752815,-0.5904522613065326,0.2734375,0,0,6.580400997282774,高
May,2019,CAR,187,1,5,2019-05-01,2019-05,163.0,398.0,694.0,0.49999999999999994,-0.8660254037844387,249.33333333333334,434.3333333333333,704.4166666666666,265.97971993760484,0.14723926380368102,-0.005319148936170248,0,0,4.480869427753121,中
June,2019,CAR,547,1,6,2019-06-01,2019-06,187.0,163.0,398.0,1.2246467991473532e-16,-1.0,299.0,409.8333333333333,711.0833333333334,406.48985996883437,1.9251336898395723,0.17130620985010703,0,0,5.539972876516774,中
July,2019,CAR,1226,4,7,2019-07-01,2019-07,547.0,187.0,163.0,-0.4999999999999997,-0.8660254037844388,653.3333333333334,535.8333333333334,702.4166666666666,816.2449299844637,1.2413162705667276,-0.07819548872180448,0,1,7.774519052838329,高
August,2019,CAR,1536,6,8,2019-08-01,2019-08,1226.0,547.0,187.0,-0.8660254037844385,-0.5000000000000004,1103.0,676.1666666666666,725.0,1176.1224649922524,0.2528548123980423,0.2142292490118578,1,3,6.692565008571571,高
