Month,Year,Region,Dengue_Cases,Dengue_Deaths,MonthNum,Date,YearMonth
August,2018,Region XI,876,4,8,2018-08-01,2018-08
September,2018,Region XI,792,2,9,2018-09-01,2018-09
October,2018,Region XI,609,2,10,2018-10-01,2018-10
November,2018,Region XI,742,1,11,2018-11-01,2018-11
December,2018,Region XI,956,1,12,2018-12-01,2018-12
January,2019,Region XI,627,0,1,2019-01-01,2019-01
February,2019,Region XI,841,5,2,2019-02-01,2019-02
March,2019,Region XI,806,2,3,2019-03-01,2019-03
April,2019,Region XI,339,1,4,2019-04-01,2019-04
May,2019,Region XI,257,0,5,2019-05-01,2019-05
June,2019,Region XI,584,3,6,2019-06-01,2019-06
July,2019,Region XI,1115,10,7,2019-07-01,2019-07
August,2019,Region XI,1284,9,8,2019-08-01,2019-08
September,2019,Region XI,1141,9,9,2019-09-01,2019-09
October,2019,Region XI,534,4,10,2019-10-01,2019-10
November,2019,Region XI,437,2,11,2019-11-01,2019-11
December,2019,Region XI,501,1,12,2019-12-01,2019-12
January,2020,Region XI,220,2,1,2020-01-01,2020-01
February,2020,Region XI,312,0,2,2020-02-01,2020-02
March,2020,Region XI,352,3,3,2020-03-01,2020-03
April,2020,Region XI,80,0,4,2020-04-01,2020-04
May,2020,Region XI,70,0,5,2020-05-01,2020-05
June,2020,Region XI,51,0,6,2020-06-01,2020-06
July,2020,Region XI,126,2,7,2020-07-01,2020-07
August,2020,Region XI,185,3,8,2020-08-01,2020-08
September,2020,Region XI,146,2,9,2020-09-01,2020-09
October,2020,Region XI,113,1,10,2020-10-01,2020-10
November,2020,Region XI,154,0,11,2020-11-01,2020-11
December,2020,Region XI,127,0,12,2020-12-01,2020-12
January,2016,Region XII,1231,9,1,2016-01-01,2016-01
February,2016,Region XII,843,0,2,2016-02-01,2016-02
March,2016,Region XII,666,4,3,2016-03-01,2016-03
April,2016,Region XII,654,2,4,2016-04-01,2016-04
May,2016,Region XII,730,3,5,2016-05-01,2016-05
June,2016,Region XII,1260,5,6,2016-06-01,2016-06
July,2016,Region XII,3251,15,7,2016-07-01,2016-07
August,2016,Region XII,2582,11,8,2016-08-01,2016-08
September,2016,Region XII,1083,1036,9,2016-09-01,2016-09
October,2016,Region XII,928,1270,10,2016-10-01,2016-10
November,2016,Region XII,1216,6,11,2016-11-01,2016-11
December,2016,Region XII,1569,8,12,2016-12-01,2016-12
January,2017,Region XII,1512,8,1,2017-01-01,2017-01
February,2017,Region XII,1012,10,2,2017-02-01,2017-02
March,2017,Region XII,968,3,3,2017-03-01,2017-03
April,2017,Region XII,1070,4,4,2017-04-01,2017-04
May,2017,Region XII,758,2,5,2017-05-01,2017-05
June,2017,Region XII,806,2,6,2017-06-01,2017-06
July,2017,Region XII,771,2,7,2017-07-01,2017-07
August,2017,Region XII,733,1,8,2017-08-01,2017-08
September,2017,Region XII,694,10,9,2017-09-01,2017-09
October,2017,Region XII,549,2,10,2017-10-01,2017-10
November,2017,Region XII,349,0,11,2017-11-01,2017-11
December,2017,Region XII,391,2,12,2017-12-01,2017-12
January,2018,Region XII,433,1,1,2018-01-01,2018-01
February,2018,Region XII,378,1,2,2018-02-01,2018-02
March,2018,Region XII,477,2,3,2018-03-01,2018-03
April,2018,Region XII,476,1,4,2018-04-01,2018-04
May,2018,Region XII,490,2,5,2018-05-01,2018-05
June,2018,Region XII,850,8,6,2018-06-01,2018-06
July,2018,Region XII,1195,5,7,2018-07-01,2018-07
August,2018,Region XII,927,5,8,2018-08-01,2018-08
September,2018,Region XII,1016,6,9,2018-09-01,2018-09
October,2018,Region XII,927,5,10,2018-10-01,2018-10
November,2018,Region XII,855,2,11,2018-11-01,2018-11
December,2018,Region XII,1149,4,12,2018-12-01,2018-12
January,2019,Region XII,978,2,1,2019-01-01,2019-01
February,2019,Region XII,1588,3,2,2019-02-01,2019-02
March,2019,Region XII,1658,12,3,2019-03-01,2019-03
April,2019,Region XII,920,7,4,2019-04-01,2019-04
May,2019,Region XII,1286,4,5,2019-05-01,2019-05
June,2019,Region XII,2689,15,6,2019-06-01,2019-06
July,2019,Region XII,3114,15,7,2019-07-01,2019-07
August,2019,Region XII,3579,4,8,2019-08-01,2019-08
September,2019,Region XII,2434,16,9,2019-09-01,2019-09
October,2019,Region XII,1159,7,10,2019-10-01,2019-10
November,2019,Region XII,753,2,11,2019-11-01,2019-11
December,2019,Region XII,482,4,12,2019-12-01,2019-12
January,2020,Region XII,423,4,1,2020-01-01,2020-01
February,2020,Region XII,648,1,2,2020-02-01,2020-02
March,2020,Region XII,703,2,3,2020-03-01,2020-03
April,2020,Region XII,228,0,4,2020-04-01,2020-04
May,2020,Region XII,316,5,5,2020-05-01,2020-05
June,2020,Region XII,347,3,6,2020-06-01,2020-06
July,2020,Region XII,621,3,7,2020-07-01,2020-07
August,2020,Region XII,550,4,8,2020-08-01,2020-08
September,2020,Region XII,136,117,9,2020-09-01,2020-09
October,2020,Region XII,76,80,10,2020-10-01,2020-10
November,2020,Region XII,117,27,11,2020-11-01,2020-11
December,2020,Region XII,198,2,12,2020-12-01,2020-12
January,2016,Region XIII,1116,6,1,2016-01-01,2016-01
February,2016,Region XIII,679,3,2,2016-02-01,2016-02
March,2016,Region XIII,569,3,3,2016-03-01,2016-03
April,2016,Region XIII,420,1,4,2016-04-01,2016-04
May,2016,Region XIII,566,2,5,2016-05-01,2016-05
June,2016,Region XIII,615,2,6,2016-06-01,2016-06
July,2016,Region XIII,897,2,7,2016-07-01,2016-07
August,2016,Region XIII,851,9,8,2016-08-01,2016-08
September,2016,Region XIII,331,308,9,2016-09-01,2016-09
October,2016,Region XIII,277,481,10,2016-10-01,2016-10
November,2016,Region XIII,396,1,11,2016-11-01,2016-11
December,2016,Region XIII,498,6,12,2016-12-01,2016-12
January,2017,Region XIII,537,4,1,2017-01-01,2017-01
February,2017,Region XIII,290,1,2,2017-02-01,2017-02
March,2017,Region XIII,461,2,3,2017-03-01,2017-03
April,2017,Region XIII,207,0,4,2017-04-01,2017-04
May,2017,Region XIII,155,0,5,2017-05-01,2017-05
June,2017,Region XIII,168,0,6,2017-06-01,2017-06
July,2017,Region XIII,186,1,7,2017-07-01,2017-07
August,2017,Region XIII,216,4,8,2017-08-01,2017-08
September,2017,Region XIII,184,0,9,2017-09-01,2017-09
October,2017,Region XIII,258,1,10,2017-10-01,2017-10
November,2017,Region XIII,119,1,11,2017-11-01,2017-11
December,2017,Region XIII,207,0,12,2017-12-01,2017-12
January,2018,Region XIII,269,0,1,2018-01-01,2018-01
February,2018,Region XIII,314,1,2,2018-02-01,2018-02
March,2018,Region XIII,188,0,3,2018-03-01,2018-03
April,2018,Region XIII,216,2,4,2018-04-01,2018-04
May,2018,Region XIII,221,1,5,2018-05-01,2018-05
June,2018,Region XIII,400,0,6,2018-06-01,2018-06
July,2018,Region XIII,849,6,7,2018-07-01,2018-07
August,2018,Region XIII,803,3,8,2018-08-01,2018-08
September,2018,Region XIII,1062,5,9,2018-09-01,2018-09
October,2018,Region XIII,1060,5,10,2018-10-01,2018-10
November,2018,Region XIII,1361,5,11,2018-11-01,2018-11
December,2018,Region XIII,2310,14,12,2018-12-01,2018-12
January,2019,Region XIII,2036,5,1,2019-01-01,2019-01
February,2019,Region XIII,2047,7,2,2019-02-01,2019-02
March,2019,Region XIII,1088,3,3,2019-03-01,2019-03
April,2019,Region XIII,328,2,4,2019-04-01,2019-04
May,2019,Region XIII,324,0,5,2019-05-01,2019-05
June,2019,Region XIII,492,0,6,2019-06-01,2019-06
July,2019,Region XIII,749,0,7,2019-07-01,2019-07
August,2019,Region XIII,1132,2,8,2019-08-01,2019-08
September,2019,Region XIII,1201,4,9,2019-09-01,2019-09
October,2019,Region XIII,908,2,10,2019-10-01,2019-10
November,2019,Region XIII,713,0,11,2019-11-01,2019-11
December,2019,Region XIII,1036,2,12,2019-12-01,2019-12
January,2020,Region XIII,938,5,1,2020-01-01,2020-01
February,2020,Region XIII,1172,2,2,2020-02-01,2020-02
March,2020,Region XIII,816,1,3,2020-03-01,2020-03
April,2020,Region XIII,288,2,4,2020-04-01,2020-04
May,2020,Region XIII,271,0,5,2020-05-01,2020-05
June,2020,Region XIII,162,0,6,2020-06-01,2020-06
July,2020,Region XIII,122,1,7,2020-07-01,2020-07
August,2020,Region XIII,137,0,8,2020-08-01,2020-08
September,2020,Region XIII,28,31,9,2020-09-01,2020-09
October,2020,Region XIII,10,14,10,2020-10-01,2020-10
November,2020,Region XIII,12,3,11,2020-11-01,2020-11
December,2020,Region XIII,27,0,12,2020-12-01,2020-12
January,2016,NCR,1261,4,1,2016-01-01,2016-01
February,2016,NCR,999,7,2,2016-02-01,2016-02
March,2016,NCR,730,3,3,2016-03-01,2016-03
April,2016,NCR,448,2,4,2016-04-01,2016-04
May,2016,NCR,414,0,5,2016-05-01,2016-05
June,2016,NCR,406,0,6,2016-06-01,2016-06
July,2016,NCR,1436,5,7,2016-07-01,2016-07
August,2016,NCR,2291,6,8,2016-08-01,2016-08
September,2016,NCR,1291,1291,9,2016-09-01,2016-09
October,2016,NCR,1033,1651,10,2016-10-01,2016-10
November,2016,NCR,1472,8,11,2016-11-01,2016-11
December,2016,NCR,1221,10,12,2016-12-01,2016-12
January,2017,NCR,1676,7,1,2017-01-01,2017-01
February,2017,NCR,1161,4,2,2017-02-01,2017-02
March,2017,NCR,930,4,3,2017-03-01,2017-03
April,2017,NCR,767,6,4,2017-04-01,2017-04
May,2017,NCR,543,4,5,2017-05-01,2017-05
June,2017,NCR,1027,9,6,2017-06-01,2017-06
July,2017,NCR,3139,20,7,2017-07-01,2017-07
August,2017,NCR,4555,30,8,2017-08-01,2017-08
September,2017,NCR,3783,32,9,2017-09-01,2017-09
October,2017,NCR,3833,24,10,2017-10-01,2017-10
November,2017,NCR,2588,13,11,2017-11-01,2017-11
December,2017,NCR,2101,15,12,2017-12-01,2017-12
January,2018,NCR,2043,12,1,2018-01-01,2018-01
February,2018,NCR,1965,4,2,2018-02-01,2018-02
March,2018,NCR,1160,5,3,2018-03-01,2018-03
April,2018,NCR,897,6,4,2018-04-01,2018-04
May,2018,NCR,603,2,5,2018-05-01,2018-05
June,2018,NCR,832,6,6,2018-06-01,2018-06
July,2018,NCR,2608,23,7,2018-07-01,2018-07
August,2018,NCR,3323,14,8,2018-08-01,2018-08
September,2018,NCR,5131,44,9,2018-09-01,2018-09
October,2018,NCR,4472,32,10,2018-10-01,2018-10
November,2018,NCR,3335,20,11,2018-11-01,2018-11
December,2018,NCR,2831,12,12,2018-12-01,2018-12
January,2019,NCR,2082,9,1,2019-01-01,2019-01
February,2019,NCR,2348,9,2,2019-02-01,2019-02
March,2019,NCR,1377,4,3,2019-03-01,2019-03
April,2019,NCR,532,4,4,2019-04-01,2019-04
May,2019,NCR,442,3,5,2019-05-01,2019-05
June,2019,NCR,817,2,6,2019-06-01,2019-06
July,2019,NCR,1839,14,7,2019-07-01,2019-07
August,2019,NCR,5481,36,8,2019-08-01,2019-08
September,2019,NCR,11033,58,9,2019-09-01,2019-09
October,2019,NCR,6776,25,10,2019-10-01,2019-10
November,2019,NCR,4494,11,11,2019-11-01,2019-11
December,2019,NCR,3257,15,12,2019-12-01,2019-12
January,2020,NCR,2328,10,1,2020-01-01,2020-01
February,2020,NCR,1991,7,2,2020-02-01,2020-02
March,2020,NCR,1032,3,3,2020-03-01,2020-03
April,2020,NCR,99,0,4,2020-04-01,2020-04
May,2020,NCR,65,0,5,2020-05-01,2020-05
June,2020,NCR,57,0,6,2020-06-01,2020-06
July,2020,NCR,112,0,7,2020-07-01,2020-07
August,2020,NCR,158,1,8,2020-08-01,2020-08
September,2020,NCR,131,134,9,2020-09-01,2020-09
October,2020,NCR,129,185,10,2020-10-01,2020-10
November,2020,NCR,423,139,11,2020-11-01,2020-11
December,2020,NCR,658,4,12,2020-12-01,2020-12
January,2016,CAR,579,4,1,2016-01-01,2016-01
February,2016,CAR,276,1,2,2016-02-01,2016-02
March,2016,CAR,191,0,3,2016-03-01,2016-03
April,2016,CAR,226,1,4,2016-04-01,2016-04
May,2016,CAR,504,0,5,2016-05-01,2016-05
June,2016,CAR,1358,3,6,2016-06-01,2016-06
July,2016,CAR,2769,10,7,2016-07-01,2016-07
August,2016,CAR,2179,2,8,2016-08-01,2016-08
September,2016,CAR,538,548,9,2016-09-01,2016-09
October,2016,CAR,261,319,10,2016-10-01,2016-10
November,2016,CAR,161,0,11,2016-11-01,2016-11
December,2016,CAR,122,0,12,2016-12-01,2016-12
January,2017,CAR,166,0,1,2017-01-01,2017-01
February,2017,CAR,123,1,2,2017-02-01,2017-02
March,2017,CAR,76,0,3,2017-03-01,2017-03
April,2017,CAR,76,0,4,2017-04-01,2017-04
May,2017,CAR,57,0,5,2017-05-01,2017-05
June,2017,CAR,146,0,6,2017-06-01,2017-06
July,2017,CAR,532,1,7,2017-07-01,2017-07
August,2017,CAR,841,3,8,2017-08-01,2017-08
September,2017,CAR,610,3,9,2017-09-01,2017-09
October,2017,CAR,661,0,10,2017-10-01,2017-10
November,2017,CAR,391,3,11,2017-11-01,2017-11
December,2017,CAR,366,1,12,2017-12-01,2017-12
January,2018,CAR,320,0,1,2018-01-01,2018-01
February,2018,CAR,234,2,2,2018-02-01,2018-02
March,2018,CAR,173,0,3,2018-03-01,2018-03
April,2018,CAR,128,0,4,2018-04-01,2018-04
May,2018,CAR,188,0,5,2018-05-01,2018-05
June,2018,CAR,467,1,6,2018-06-01,2018-06
July,2018,CAR,1330,1,7,2018-07-01,2018-07
August,2018,CAR,1265,2,8,2018-08-01,2018-08
September,2018,CAR,1221,2,9,2018-09-01,2018-09
October,2018,CAR,915,0,10,2018-10-01,2018-10
November,2018,CAR,649,0,11,2018-11-01,2018-11
December,2018,CAR,694,0,12,2018-12-01,2018-12
January,2019,CAR,470,2,1,2019-01-01,2019-01
February,2019,CAR,694,2,2,2019-02-01,2019-02
March,2019,CAR,398,0,3,2019-03-01,2019-03
April,2019,CAR,163,0,4,2019-04-01,2019-04
May,2019,CAR,187,1,5,2019-05-01,2019-05
June,2019,CAR,547,1,6,2019-06-01,2019-06
July,2019,CAR,1226,4,7,2019-07-01,2019-07
August,2019,CAR,1536,6,8,2019-08-01,2019-08
September,2019,CAR,1472,5,9,2019-09-01,2019-09
October,2019,CAR,992,1,10,2019-10-01,2019-10
November,2019,CAR,756,4,11,2019-11-01,2019-11
December,2019,CAR,367,1,12,2019-12-01,2019-12
January,2020,CAR,229,1,1,2020-01-01,2020-01
February,2020,CAR,185,0,2,2020-02-01,2020-02
March,2020,CAR,121,0,3,2020-03-01,2020-03
April,2020,CAR,19,1,4,2020-04-01,2020-04
May,2020,CAR,31,0,5,2020-05-01,2020-05
June,2020,CAR,62,0,6,2020-06-01,2020-06
July,2020,CAR,67,0,7,2020-07-01,2020-07
August,2020,CAR,72,0,8,2020-08-01,2020-08
September,2020,CAR,39,26,9,2020-09-01,2020-09
October,2020,CAR,40,28,10,2020-10-01,2020-10
November,2020,CAR,38,15,11,2020-11-01,2020-11
December,2020,CAR,78,2,12,2020-12-01,2020-12
January,2016,BARMM,126,2,1,2016-01-01,2016-01
February,2016,BARMM,92,2,2,2016-02-01,2016-02
March,2016,BARMM,107,3,3,2016-03-01,2016-03
April,2016,BARMM,109,4,4,2016-04-01,2016-04
May,2016,BARMM,165,4,5,2016-05-01,2016-05
June,2016,BARMM,263,7,6,2016-06-01,2016-06
July,2016,BARMM,491,2,7,2016-07-01,2016-07
August,2016,BARMM,327,2,8,2016-08-01,2016-08
September,2016,BARMM,124,105,9,2016-09-01,2016-09
October,2016,BARMM,82,109,10,2016-10-01,2016-10
November,2016,BARMM,143,1,11,2016-11-01,2016-11
December,2016,BARMM,162,2,12,2016-12-01,2016-12
January,2017,BARMM,74,0,1,2017-01-01,2017-01
February,2017,BARMM,59,1,2,2017-02-01,2017-02
March,2017,BARMM,25,0,3,2017-03-01,2017-03
April,2017,BARMM,36,0,4,2017-04-01,2017-04
May,2017,BARMM,22,0,5,2017-05-01,2017-05
June,2017,BARMM,57,0,6,2017-06-01,2017-06
July,2017,BARMM,62,0,7,2017-07-01,2017-07
August,2017,BARMM,41,0,8,2017-08-01,2017-08
September,2017,BARMM,33,1,9,2017-09-01,2017-09
October,2017,BARMM,38,0,10,2017-10-01,2017-10
November,2017,BARMM,17,0,11,2017-11-01,2017-11
December,2017,BARMM,21,0,12,2017-12-01,2017-12
January,2018,BARMM,149,2,1,2018-01-01,2018-01
February,2018,BARMM,129,1,2,2018-02-01,2018-02
March,2018,BARMM,77,2,3,2018-03-01,2018-03
April,2018,BARMM,124,3,4,2018-04-01,2018-04
May,2018,BARMM,164,1,5,2018-05-01,2018-05
June,2018,BARMM,254,5,6,2018-06-01,2018-06
July,2018,BARMM,412,3,7,2018-07-01,2018-07
August,2018,BARMM,253,2,8,2018-08-01,2018-08
September,2018,BARMM,261,0,9,2018-09-01,2018-09
October,2018,BARMM,246,8,10,2018-10-01,2018-10
November,2018,BARMM,183,4,11,2018-11-01,2018-11
December,2018,BARMM,208,2,12,2018-12-01,2018-12
January,2019,BARMM,201,2,1,2019-01-01,2019-01
February,2019,BARMM,309,4,2,2019-02-01,2019-02
March,2019,BARMM,303,2,3,2019-03-01,2019-03
April,2019,BARMM,221,2,4,2019-04-01,2019-04
May,2019,BARMM,284,2,5,2019-05-01,2019-05
June,2019,BARMM,554,4,6,2019-06-01,2019-06
July,2019,BARMM,772,2,7,2019-07-01,2019-07
August,2019,BARMM,811,6,8,2019-08-01,2019-08
September,2019,BARMM,807,2,9,2019-09-01,2019-09
October,2019,BARMM,481,2,10,2019-10-01,2019-10
November,2019,BARMM,362,0,11,2019-11-01,2019-11
December,2019,BARMM,288,3,12,2019-12-01,2019-12
January,2020,BARMM,212,1,1,2020-01-01,2020-01
February,2020,BARMM,233,2,2,2020-02-01,2020-02
March,2020,BARMM,207,2,3,2020-03-01,2020-03
April,2020,BARMM,23,0,4,2020-04-01,2020-04
May,2020,BARMM,27,0,5,2020-05-01,2020-05
June,2020,BARMM,48,0,6,2020-06-01,2020-06
July,2020,BARMM,100,0,7,2020-07-01,2020-07
August,2020,BARMM,91,0,8,2020-08-01,2020-08
September,2020,BARMM,16,8,9,2020-09-01,2020-09
October,2020,BARMM,13,9,10,2020-10-01,2020-10
November,2020,BARMM,15,1,11,2020-11-01,2020-11
December,2020,BARMM,23,0,12,2020-12-01,2020-12
