,RMSE,MAE,MAPE,R²
全国,58940.33394362381,49954.38055017587,1018.0939134376808,-104.50742362847912
Region IV-A,13812.902340774368,11683.839769301254,4168.006279118121,-189.33247972754722
Region III,3516.346036706151,2572.712971865172,298.65975746632324,-13.124376124439664
Region VI,12604.627716581093,8392.476135879895,3383.274348637258,-3074.5860890785584
