,RMSE,MAE,MAPE,R²
全国,20474.701087052938,15838.75,326.4142663822758,-11.731892826971231
Region IV-A,3530.016094155946,2599.0,993.0969309671456,-11.430723146696751
Region III,1998.1159472216987,1472.7708333333333,164.85122282620236,-3.5606572314475615
Region VI,2971.810138619222,2018.0833333333333,820.8395168787666,-169.96608299963742
