Model,RMSE,MAE,MAPE,R2
xgb,418.63324864969815,159.76211547851562,118.21773091446704,0.5524247288703918
rf,91.03211036714256,57.25232735634613,44.83848426342827,0.9788364819744653
gb,71.41356118827152,47.596755056411986,35.11029257437085,0.9869755311387833
lgbm,726.0842079967246,325.649673653516,188.12421457721896,-0.3463954112511811
ridge,247.22137530010536,204.63091279664923,173.46233958572333,0.8439115828068582
